"","year","gender","agegroup","measurement","value"
"577",1999,"Female","[30:35)","circsize_hivneg",0
"578",2000,"Female","[30:35)","circsize_hivneg",0
"579",2002,"Female","[30:35)","circsize_hivneg",0
"580",2003,"Female","[30:35)","circsize_hivneg",0
"581",2004,"Female","[30:35)","circsize_hivneg",0
"582",2006,"Female","[30:35)","circsize_hivneg",0
"583",2007,"Female","[30:35)","circsize_hivneg",0
"584",2009,"Female","[30:35)","circsize_hivneg",0
"585",2011,"Female","[30:35)","circsize_hivneg",0
"586",2012,"Female","[30:35)","circsize_hivneg",0
"587",2014,"Female","[30:35)","circsize_hivneg",0
"588",2016,"Female","[30:35)","circsize_hivneg",0
"589",1999,"Male","[30:35)","circsize_hivneg",62
"590",2000,"Male","[30:35)","circsize_hivneg",71
"591",2002,"Male","[30:35)","circsize_hivneg",77
"592",2003,"Male","[30:35)","circsize_hivneg",70
"593",2004,"Male","[30:35)","circsize_hivneg",70
"594",2006,"Male","[30:35)","circsize_hivneg",102
"595",2007,"Male","[30:35)","circsize_hivneg",161
"596",2009,"Male","[30:35)","circsize_hivneg",170
"597",2011,"Male","[30:35)","circsize_hivneg",255
"598",2012,"Male","[30:35)","circsize_hivneg",296
"599",2014,"Male","[30:35)","circsize_hivneg",352
"600",2016,"Male","[30:35)","circsize_hivneg",363
"601",1999,"Female","[35:40)","circsize_hivneg",0
"602",2000,"Female","[35:40)","circsize_hivneg",0
"603",2002,"Female","[35:40)","circsize_hivneg",0
"604",2003,"Female","[35:40)","circsize_hivneg",0
"605",2004,"Female","[35:40)","circsize_hivneg",0
"606",2006,"Female","[35:40)","circsize_hivneg",0
"607",2007,"Female","[35:40)","circsize_hivneg",0
"608",2009,"Female","[35:40)","circsize_hivneg",0
"609",2011,"Female","[35:40)","circsize_hivneg",0
"610",2012,"Female","[35:40)","circsize_hivneg",0
"611",2014,"Female","[35:40)","circsize_hivneg",0
"612",2016,"Female","[35:40)","circsize_hivneg",0
"613",1999,"Male","[35:40)","circsize_hivneg",42
"614",2000,"Male","[35:40)","circsize_hivneg",35
"615",2002,"Male","[35:40)","circsize_hivneg",45
"616",2003,"Male","[35:40)","circsize_hivneg",43
"617",2004,"Male","[35:40)","circsize_hivneg",64
"618",2006,"Male","[35:40)","circsize_hivneg",80
"619",2007,"Male","[35:40)","circsize_hivneg",108
"620",2009,"Male","[35:40)","circsize_hivneg",153
"621",2011,"Male","[35:40)","circsize_hivneg",198
"622",2012,"Male","[35:40)","circsize_hivneg",250
"623",2014,"Male","[35:40)","circsize_hivneg",268
"624",2016,"Male","[35:40)","circsize_hivneg",330
"625",1999,"Female","[40:45)","circsize_hivneg",0
"626",2000,"Female","[40:45)","circsize_hivneg",0
"627",2002,"Female","[40:45)","circsize_hivneg",0
"628",2003,"Female","[40:45)","circsize_hivneg",0
"629",2004,"Female","[40:45)","circsize_hivneg",0
"630",2006,"Female","[40:45)","circsize_hivneg",0
"631",2007,"Female","[40:45)","circsize_hivneg",0
"632",2009,"Female","[40:45)","circsize_hivneg",0
"633",2011,"Female","[40:45)","circsize_hivneg",0
"634",2012,"Female","[40:45)","circsize_hivneg",0
"635",2014,"Female","[40:45)","circsize_hivneg",0
"636",2016,"Female","[40:45)","circsize_hivneg",0
"637",1999,"Male","[40:45)","circsize_hivneg",17
"638",2000,"Male","[40:45)","circsize_hivneg",36
"639",2002,"Male","[40:45)","circsize_hivneg",43
"640",2003,"Male","[40:45)","circsize_hivneg",40
"641",2004,"Male","[40:45)","circsize_hivneg",43
"642",2006,"Male","[40:45)","circsize_hivneg",53
"643",2007,"Male","[40:45)","circsize_hivneg",75
"644",2009,"Male","[40:45)","circsize_hivneg",95
"645",2011,"Male","[40:45)","circsize_hivneg",135
"646",2012,"Male","[40:45)","circsize_hivneg",163
"647",2014,"Male","[40:45)","circsize_hivneg",218
"648",2016,"Male","[40:45)","circsize_hivneg",240
"649",1999,"Female","[45:50)","circsize_hivneg",0
"650",2000,"Female","[45:50)","circsize_hivneg",0
"651",2002,"Female","[45:50)","circsize_hivneg",0
"652",2003,"Female","[45:50)","circsize_hivneg",0
"653",2004,"Female","[45:50)","circsize_hivneg",0
"654",2006,"Female","[45:50)","circsize_hivneg",0
"655",2007,"Female","[45:50)","circsize_hivneg",0
"656",2009,"Female","[45:50)","circsize_hivneg",0
"657",2011,"Female","[45:50)","circsize_hivneg",0
"658",2012,"Female","[45:50)","circsize_hivneg",0
"659",2014,"Female","[45:50)","circsize_hivneg",0
"660",2016,"Female","[45:50)","circsize_hivneg",0
"661",1999,"Male","[45:50)","circsize_hivneg",17
"662",2000,"Male","[45:50)","circsize_hivneg",19
"663",2002,"Male","[45:50)","circsize_hivneg",35
"664",2003,"Male","[45:50)","circsize_hivneg",29
"665",2004,"Male","[45:50)","circsize_hivneg",29
"666",2006,"Male","[45:50)","circsize_hivneg",42
"667",2007,"Male","[45:50)","circsize_hivneg",47
"668",2009,"Male","[45:50)","circsize_hivneg",56
"669",2011,"Male","[45:50)","circsize_hivneg",77
"670",2012,"Male","[45:50)","circsize_hivneg",92
"671",2014,"Male","[45:50)","circsize_hivneg",123
"672",2016,"Male","[45:50)","circsize_hivneg",180
"673",1999,"Female","[15:20)","circsize_hivpos",0
"674",2000,"Female","[15:20)","circsize_hivpos",0
"675",2002,"Female","[15:20)","circsize_hivpos",0
"676",2003,"Female","[15:20)","circsize_hivpos",0
"677",2004,"Female","[15:20)","circsize_hivpos",0
"678",2006,"Female","[15:20)","circsize_hivpos",0
"679",2007,"Female","[15:20)","circsize_hivpos",0
"680",2009,"Female","[15:20)","circsize_hivpos",0
"681",2011,"Female","[15:20)","circsize_hivpos",0
"682",2012,"Female","[15:20)","circsize_hivpos",0
"683",2014,"Female","[15:20)","circsize_hivpos",0
"684",2016,"Female","[15:20)","circsize_hivpos",0
"685",1999,"Male","[15:20)","circsize_hivpos",0
"686",2000,"Male","[15:20)","circsize_hivpos",0
"687",2002,"Male","[15:20)","circsize_hivpos",0
"688",2003,"Male","[15:20)","circsize_hivpos",0
"689",2004,"Male","[15:20)","circsize_hivpos",0
"690",2006,"Male","[15:20)","circsize_hivpos",0
"691",2007,"Male","[15:20)","circsize_hivpos",2
"692",2009,"Male","[15:20)","circsize_hivpos",2
"693",2011,"Male","[15:20)","circsize_hivpos",4
"694",2012,"Male","[15:20)","circsize_hivpos",5
"695",2014,"Male","[15:20)","circsize_hivpos",0
"696",2016,"Male","[15:20)","circsize_hivpos",2
"697",1999,"Female","[20:25)","circsize_hivpos",0
"698",2000,"Female","[20:25)","circsize_hivpos",0
"699",2002,"Female","[20:25)","circsize_hivpos",0
"700",2003,"Female","[20:25)","circsize_hivpos",0
"701",2004,"Female","[20:25)","circsize_hivpos",0
"702",2006,"Female","[20:25)","circsize_hivpos",0
"703",2007,"Female","[20:25)","circsize_hivpos",0
"704",2009,"Female","[20:25)","circsize_hivpos",0
"705",2011,"Female","[20:25)","circsize_hivpos",0
"706",2012,"Female","[20:25)","circsize_hivpos",0
"707",2014,"Female","[20:25)","circsize_hivpos",0
"708",2016,"Female","[20:25)","circsize_hivpos",0
"709",1999,"Male","[20:25)","circsize_hivpos",2
"710",2000,"Male","[20:25)","circsize_hivpos",0
"711",2002,"Male","[20:25)","circsize_hivpos",2
"712",2003,"Male","[20:25)","circsize_hivpos",2
"713",2004,"Male","[20:25)","circsize_hivpos",4
"714",2006,"Male","[20:25)","circsize_hivpos",4
"715",2007,"Male","[20:25)","circsize_hivpos",7
"716",2009,"Male","[20:25)","circsize_hivpos",6
"717",2011,"Male","[20:25)","circsize_hivpos",10
"718",2012,"Male","[20:25)","circsize_hivpos",11
"719",2014,"Male","[20:25)","circsize_hivpos",10
"720",2016,"Male","[20:25)","circsize_hivpos",9
"721",1999,"Female","[25:30)","circsize_hivpos",0
"722",2000,"Female","[25:30)","circsize_hivpos",0
"723",2002,"Female","[25:30)","circsize_hivpos",0
"724",2003,"Female","[25:30)","circsize_hivpos",0
"725",2004,"Female","[25:30)","circsize_hivpos",0
"726",2006,"Female","[25:30)","circsize_hivpos",0
"727",2007,"Female","[25:30)","circsize_hivpos",0
"728",2009,"Female","[25:30)","circsize_hivpos",0
"729",2011,"Female","[25:30)","circsize_hivpos",0
"730",2012,"Female","[25:30)","circsize_hivpos",0
"731",2014,"Female","[25:30)","circsize_hivpos",0
"732",2016,"Female","[25:30)","circsize_hivpos",0
"733",1999,"Male","[25:30)","circsize_hivpos",5
"734",2000,"Male","[25:30)","circsize_hivpos",6
"735",2002,"Male","[25:30)","circsize_hivpos",9
"736",2003,"Male","[25:30)","circsize_hivpos",2
"737",2004,"Male","[25:30)","circsize_hivpos",11
"738",2006,"Male","[25:30)","circsize_hivpos",13
"739",2007,"Male","[25:30)","circsize_hivpos",18
"740",2009,"Male","[25:30)","circsize_hivpos",23
"741",2011,"Male","[25:30)","circsize_hivpos",24
"742",2012,"Male","[25:30)","circsize_hivpos",31
"743",2014,"Male","[25:30)","circsize_hivpos",35
"744",2016,"Male","[25:30)","circsize_hivpos",28
"745",1999,"Female","[30:35)","circsize_hivpos",0
"746",2000,"Female","[30:35)","circsize_hivpos",0
"747",2002,"Female","[30:35)","circsize_hivpos",0
"748",2003,"Female","[30:35)","circsize_hivpos",0
"749",2004,"Female","[30:35)","circsize_hivpos",0
"750",2006,"Female","[30:35)","circsize_hivpos",0
"751",2007,"Female","[30:35)","circsize_hivpos",0
"752",2009,"Female","[30:35)","circsize_hivpos",0
"753",2011,"Female","[30:35)","circsize_hivpos",0
"754",2012,"Female","[30:35)","circsize_hivpos",0
"755",2014,"Female","[30:35)","circsize_hivpos",0
"756",2016,"Female","[30:35)","circsize_hivpos",0
"757",1999,"Male","[30:35)","circsize_hivpos",9
"758",2000,"Male","[30:35)","circsize_hivpos",7
"759",2002,"Male","[30:35)","circsize_hivpos",11
"760",2003,"Male","[30:35)","circsize_hivpos",10
"761",2004,"Male","[30:35)","circsize_hivpos",6
"762",2006,"Male","[30:35)","circsize_hivpos",12
"763",2007,"Male","[30:35)","circsize_hivpos",28
"764",2009,"Male","[30:35)","circsize_hivpos",35
"765",2011,"Male","[30:35)","circsize_hivpos",36
"766",2012,"Male","[30:35)","circsize_hivpos",51
"767",2014,"Male","[30:35)","circsize_hivpos",48
"768",2016,"Male","[30:35)","circsize_hivpos",41
"769",1999,"Female","[35:40)","circsize_hivpos",0
"770",2000,"Female","[35:40)","circsize_hivpos",0
"771",2002,"Female","[35:40)","circsize_hivpos",0
"772",2003,"Female","[35:40)","circsize_hivpos",0
"773",2004,"Female","[35:40)","circsize_hivpos",0
"774",2006,"Female","[35:40)","circsize_hivpos",0
"775",2007,"Female","[35:40)","circsize_hivpos",0
"776",2009,"Female","[35:40)","circsize_hivpos",0
"777",2011,"Female","[35:40)","circsize_hivpos",0
"778",2012,"Female","[35:40)","circsize_hivpos",0
"779",2014,"Female","[35:40)","circsize_hivpos",0
"780",2016,"Female","[35:40)","circsize_hivpos",0
"781",1999,"Male","[35:40)","circsize_hivpos",7
"782",2000,"Male","[35:40)","circsize_hivpos",9
"783",2002,"Male","[35:40)","circsize_hivpos",13
"784",2003,"Male","[35:40)","circsize_hivpos",13
"785",2004,"Male","[35:40)","circsize_hivpos",13
"786",2006,"Male","[35:40)","circsize_hivpos",16
"787",2007,"Male","[35:40)","circsize_hivpos",21
"788",2009,"Male","[35:40)","circsize_hivpos",32
"789",2011,"Male","[35:40)","circsize_hivpos",43
"790",2012,"Male","[35:40)","circsize_hivpos",54
"791",2014,"Male","[35:40)","circsize_hivpos",58
"792",2016,"Male","[35:40)","circsize_hivpos",63
"793",1999,"Female","[40:45)","circsize_hivpos",0
"794",2000,"Female","[40:45)","circsize_hivpos",0
"795",2002,"Female","[40:45)","circsize_hivpos",0
"796",2003,"Female","[40:45)","circsize_hivpos",0
"797",2004,"Female","[40:45)","circsize_hivpos",0
"798",2006,"Female","[40:45)","circsize_hivpos",0
"799",2007,"Female","[40:45)","circsize_hivpos",0
"800",2009,"Female","[40:45)","circsize_hivpos",0
"801",2011,"Female","[40:45)","circsize_hivpos",0
"802",2012,"Female","[40:45)","circsize_hivpos",0
"803",2014,"Female","[40:45)","circsize_hivpos",0
"804",2016,"Female","[40:45)","circsize_hivpos",0
"805",1999,"Male","[40:45)","circsize_hivpos",1
"806",2000,"Male","[40:45)","circsize_hivpos",5
"807",2002,"Male","[40:45)","circsize_hivpos",4
"808",2003,"Male","[40:45)","circsize_hivpos",4
"809",2004,"Male","[40:45)","circsize_hivpos",12
"810",2006,"Male","[40:45)","circsize_hivpos",12
"811",2007,"Male","[40:45)","circsize_hivpos",15
"812",2009,"Male","[40:45)","circsize_hivpos",22
"813",2011,"Male","[40:45)","circsize_hivpos",35
"814",2012,"Male","[40:45)","circsize_hivpos",34
"815",2014,"Male","[40:45)","circsize_hivpos",45
"816",2016,"Male","[40:45)","circsize_hivpos",53
"817",1999,"Female","[45:50)","circsize_hivpos",0
"818",2000,"Female","[45:50)","circsize_hivpos",0
"819",2002,"Female","[45:50)","circsize_hivpos",0
"820",2003,"Female","[45:50)","circsize_hivpos",0
"821",2004,"Female","[45:50)","circsize_hivpos",0
"822",2006,"Female","[45:50)","circsize_hivpos",0
"823",2007,"Female","[45:50)","circsize_hivpos",0
"824",2009,"Female","[45:50)","circsize_hivpos",0
"825",2011,"Female","[45:50)","circsize_hivpos",0
"826",2012,"Female","[45:50)","circsize_hivpos",0
"827",2014,"Female","[45:50)","circsize_hivpos",0
"828",2016,"Female","[45:50)","circsize_hivpos",0
"829",1999,"Male","[45:50)","circsize_hivpos",0
"830",2000,"Male","[45:50)","circsize_hivpos",0
"831",2002,"Male","[45:50)","circsize_hivpos",0
"832",2003,"Male","[45:50)","circsize_hivpos",1
"833",2004,"Male","[45:50)","circsize_hivpos",1
"834",2006,"Male","[45:50)","circsize_hivpos",4
"835",2007,"Male","[45:50)","circsize_hivpos",13
"836",2009,"Male","[45:50)","circsize_hivpos",15
"837",2011,"Male","[45:50)","circsize_hivpos",20
"838",2012,"Male","[45:50)","circsize_hivpos",28
"839",2014,"Male","[45:50)","circsize_hivpos",34
"840",2016,"Male","[45:50)","circsize_hivpos",39
"841",1999,"Female","[15:20)","el_popsize",1423
"842",2000,"Female","[15:20)","el_popsize",1450
"843",2002,"Female","[15:20)","el_popsize",1554
"844",2003,"Female","[15:20)","el_popsize",1597
"845",2004,"Female","[15:20)","el_popsize",1685
"846",2006,"Female","[15:20)","el_popsize",1701
"847",2007,"Female","[15:20)","el_popsize",1810
"848",2009,"Female","[15:20)","el_popsize",1822
"849",2011,"Female","[15:20)","el_popsize",1948
"850",2012,"Female","[15:20)","el_popsize",2062
"851",2014,"Female","[15:20)","el_popsize",2270
"852",2016,"Female","[15:20)","el_popsize",2408
"853",1999,"Male","[15:20)","el_popsize",1249
"854",2000,"Male","[15:20)","el_popsize",1299
"855",2002,"Male","[15:20)","el_popsize",1423
"856",2003,"Male","[15:20)","el_popsize",1514
"857",2004,"Male","[15:20)","el_popsize",1613
"858",2006,"Male","[15:20)","el_popsize",1628
"859",2007,"Male","[15:20)","el_popsize",1714
"860",2009,"Male","[15:20)","el_popsize",1718
"861",2011,"Male","[15:20)","el_popsize",1805
"862",2012,"Male","[15:20)","el_popsize",1989
"863",2014,"Male","[15:20)","el_popsize",2158
"864",2016,"Male","[15:20)","el_popsize",2229
"865",1999,"Female","[20:25)","el_popsize",1178
"866",2000,"Female","[20:25)","el_popsize",1268
"867",2002,"Female","[20:25)","el_popsize",1362
"868",2003,"Female","[20:25)","el_popsize",1342
"869",2004,"Female","[20:25)","el_popsize",1378
"870",2006,"Female","[20:25)","el_popsize",1390
"871",2007,"Female","[20:25)","el_popsize",1485
"872",2009,"Female","[20:25)","el_popsize",1270
"873",2011,"Female","[20:25)","el_popsize",1337
"874",2012,"Female","[20:25)","el_popsize",1521
"875",2014,"Female","[20:25)","el_popsize",1679
"876",2016,"Female","[20:25)","el_popsize",1658
"877",1999,"Male","[20:25)","el_popsize",938
"878",2000,"Male","[20:25)","el_popsize",989
"879",2002,"Male","[20:25)","el_popsize",1113
"880",2003,"Male","[20:25)","el_popsize",1082
"881",2004,"Male","[20:25)","el_popsize",1028
"882",2006,"Male","[20:25)","el_popsize",1054
"883",2007,"Male","[20:25)","el_popsize",1120
"884",2009,"Male","[20:25)","el_popsize",989
"885",2011,"Male","[20:25)","el_popsize",1108
"886",2012,"Male","[20:25)","el_popsize",1248
"887",2014,"Male","[20:25)","el_popsize",1383
"888",2016,"Male","[20:25)","el_popsize",1452
"889",1999,"Female","[25:30)","el_popsize",903
"890",2000,"Female","[25:30)","el_popsize",980
"891",2002,"Female","[25:30)","el_popsize",1080
"892",2003,"Female","[25:30)","el_popsize",1101
"893",2004,"Female","[25:30)","el_popsize",1147
"894",2006,"Female","[25:30)","el_popsize",1276
"895",2007,"Female","[25:30)","el_popsize",1400
"896",2009,"Female","[25:30)","el_popsize",1314
"897",2011,"Female","[25:30)","el_popsize",1412
"898",2012,"Female","[25:30)","el_popsize",1462
"899",2014,"Female","[25:30)","el_popsize",1488
"900",2016,"Female","[25:30)","el_popsize",1512
"901",1999,"Male","[25:30)","el_popsize",852
"902",2000,"Male","[25:30)","el_popsize",899
"903",2002,"Male","[25:30)","el_popsize",979
"904",2003,"Male","[25:30)","el_popsize",1007
"905",2004,"Male","[25:30)","el_popsize",1016
"906",2006,"Male","[25:30)","el_popsize",1099
"907",2007,"Male","[25:30)","el_popsize",1157
"908",2009,"Male","[25:30)","el_popsize",1067
"909",2011,"Male","[25:30)","el_popsize",1149
"910",2012,"Male","[25:30)","el_popsize",1302
"911",2014,"Male","[25:30)","el_popsize",1373
"912",2016,"Male","[25:30)","el_popsize",1338
"913",1999,"Female","[30:35)","el_popsize",539
"914",2000,"Female","[30:35)","el_popsize",592
"915",2002,"Female","[30:35)","el_popsize",643
"916",2003,"Female","[30:35)","el_popsize",676
"917",2004,"Female","[30:35)","el_popsize",753
"918",2006,"Female","[30:35)","el_popsize",890
"919",2007,"Female","[30:35)","el_popsize",1000
"920",2009,"Female","[30:35)","el_popsize",1046
"921",2011,"Female","[30:35)","el_popsize",1189
"922",2012,"Female","[30:35)","el_popsize",1277
"923",2014,"Female","[30:35)","el_popsize",1356
"924",2016,"Female","[30:35)","el_popsize",1304
"925",1999,"Male","[30:35)","el_popsize",659
"926",2000,"Male","[30:35)","el_popsize",703
"927",2002,"Male","[30:35)","el_popsize",748
"928",2003,"Male","[30:35)","el_popsize",778
"929",2004,"Male","[30:35)","el_popsize",820
"930",2006,"Male","[30:35)","el_popsize",893
"931",2007,"Male","[30:35)","el_popsize",1042
"932",2009,"Male","[30:35)","el_popsize",968
"933",2011,"Male","[30:35)","el_popsize",1109
"934",2012,"Male","[30:35)","el_popsize",1174
"935",2014,"Male","[30:35)","el_popsize",1214
"936",2016,"Male","[30:35)","el_popsize",1138
"937",1999,"Female","[35:40)","el_popsize",513
"938",2000,"Female","[35:40)","el_popsize",495
"939",2002,"Female","[35:40)","el_popsize",504
"940",2003,"Female","[35:40)","el_popsize",495
"941",2004,"Female","[35:40)","el_popsize",484
"942",2006,"Female","[35:40)","el_popsize",514
"943",2007,"Female","[35:40)","el_popsize",597
"944",2009,"Female","[35:40)","el_popsize",683
"945",2011,"Female","[35:40)","el_popsize",849
"946",2012,"Female","[35:40)","el_popsize",955
"947",2014,"Female","[35:40)","el_popsize",1078
"948",2016,"Female","[35:40)","el_popsize",1196
"949",1999,"Male","[35:40)","el_popsize",442
"950",2000,"Male","[35:40)","el_popsize",478
"951",2002,"Male","[35:40)","el_popsize",505
"952",2003,"Male","[35:40)","el_popsize",534
"953",2004,"Male","[35:40)","el_popsize",569
"954",2006,"Male","[35:40)","el_popsize",637
"955",2007,"Male","[35:40)","el_popsize",708
"956",2009,"Male","[35:40)","el_popsize",731
"957",2011,"Male","[35:40)","el_popsize",870
"958",2012,"Male","[35:40)","el_popsize",945
"959",2014,"Male","[35:40)","el_popsize",1038
"960",2016,"Male","[35:40)","el_popsize",1130
"961",1999,"Female","[40:45)","el_popsize",376
"962",2000,"Female","[40:45)","el_popsize",418
"963",2002,"Female","[40:45)","el_popsize",429
"964",2003,"Female","[40:45)","el_popsize",434
"965",2004,"Female","[40:45)","el_popsize",449
"966",2006,"Female","[40:45)","el_popsize",414
"967",2007,"Female","[40:45)","el_popsize",436
"968",2009,"Female","[40:45)","el_popsize",433
"969",2011,"Female","[40:45)","el_popsize",464
"970",2012,"Female","[40:45)","el_popsize",573
"971",2014,"Female","[40:45)","el_popsize",733
"972",2016,"Female","[40:45)","el_popsize",832
"973",1999,"Male","[40:45)","el_popsize",304
"974",2000,"Male","[40:45)","el_popsize",321
"975",2002,"Male","[40:45)","el_popsize",332
"976",2003,"Male","[40:45)","el_popsize",336
"977",2004,"Male","[40:45)","el_popsize",355
"978",2006,"Male","[40:45)","el_popsize",383
"979",2007,"Male","[40:45)","el_popsize",466
"980",2009,"Male","[40:45)","el_popsize",513
"981",2011,"Male","[40:45)","el_popsize",587
"982",2012,"Male","[40:45)","el_popsize",652
"983",2014,"Male","[40:45)","el_popsize",731
"984",2016,"Male","[40:45)","el_popsize",792
"985",1999,"Female","[45:50)","el_popsize",292
"986",2000,"Female","[45:50)","el_popsize",309
"987",2002,"Female","[45:50)","el_popsize",354
"988",2003,"Female","[45:50)","el_popsize",302
"989",2004,"Female","[45:50)","el_popsize",331
"990",2006,"Female","[45:50)","el_popsize",390
"991",2007,"Female","[45:50)","el_popsize",405
"992",2009,"Female","[45:50)","el_popsize",430
"993",2011,"Female","[45:50)","el_popsize",437
"994",2012,"Female","[45:50)","el_popsize",418
"995",2014,"Female","[45:50)","el_popsize",445
"996",2016,"Female","[45:50)","el_popsize",493
"997",1999,"Male","[45:50)","el_popsize",201
"998",2000,"Male","[45:50)","el_popsize",247
"999",2002,"Male","[45:50)","el_popsize",290
"1000",2003,"Male","[45:50)","el_popsize",238
"1001",2004,"Male","[45:50)","el_popsize",232
"1002",2006,"Male","[45:50)","el_popsize",259
"1003",2007,"Male","[45:50)","el_popsize",296
"1004",2009,"Male","[45:50)","el_popsize",309
"1005",2011,"Male","[45:50)","el_popsize",365
"1006",2012,"Male","[45:50)","el_popsize",429
"1007",2014,"Male","[45:50)","el_popsize",531
"1008",2016,"Male","[45:50)","el_popsize",583
"1009",1999,"Female","[15:20)","hivprev",0.0356687898089172
"1010",2000,"Female","[15:20)","hivprev",0.027603513174404
"1011",2002,"Female","[15:20)","hivprev",0.0372208436724566
"1012",2003,"Female","[15:20)","hivprev",0.0518731988472622
"1013",2004,"Female","[15:20)","hivprev",0.0406015037593985
"1014",2006,"Female","[15:20)","hivprev",0.0452674897119342
"1015",2007,"Female","[15:20)","hivprev",0.0263473053892216
"1016",2009,"Female","[15:20)","hivprev",0.0223529411764706
"1017",2011,"Female","[15:20)","hivprev",0.0247678018575851
"1018",2012,"Female","[15:20)","hivprev",0.0326086956521739
"1019",2014,"Female","[15:20)","hivprev",0.0199652777777778
"1020",2016,"Female","[15:20)","hivprev",0.0315876974231089
"1021",1999,"Male","[15:20)","hivprev",0.0036036036036036
"1022",2000,"Male","[15:20)","hivprev",0.00174825174825175
"1023",2002,"Male","[15:20)","hivprev",0.0031496062992126
"1024",2003,"Male","[15:20)","hivprev",0.00189753320683112
"1025",2004,"Male","[15:20)","hivprev",0.00189753320683112
"1026",2006,"Male","[15:20)","hivprev",0
"1027",2007,"Male","[15:20)","hivprev",0.00645994832041344
"1028",2009,"Male","[15:20)","hivprev",0.00753768844221105
"1029",2011,"Male","[15:20)","hivprev",0.0107181136120043
"1030",2012,"Male","[15:20)","hivprev",0.0118829981718464
"1031",2014,"Male","[15:20)","hivprev",0.00337837837837838
"1032",2016,"Male","[15:20)","hivprev",0.00330305532617671
"1033",1999,"Female","[20:25)","hivprev",0.139315230224321
"1034",2000,"Female","[20:25)","hivprev",0.127197518097208
"1035",2002,"Female","[20:25)","hivprev",0.0992217898832685
"1036",2003,"Female","[20:25)","hivprev",0.0811623246492986
"1037",2004,"Female","[20:25)","hivprev",0.100684261974585
"1038",2006,"Female","[20:25)","hivprev",0.101599247412982
"1039",2007,"Female","[20:25)","hivprev",0.122974261201144
"1040",2009,"Female","[20:25)","hivprev",0.123303167420814
"1041",2011,"Female","[20:25)","hivprev",0.121145374449339
"1042",2012,"Female","[20:25)","hivprev",0.117874396135266
"1043",2014,"Female","[20:25)","hivprev",0.118881118881119
"1044",2016,"Female","[20:25)","hivprev",0.103356890459364
"1045",1999,"Male","[20:25)","hivprev",0.0458891013384321
"1046",2000,"Male","[20:25)","hivprev",0.0456692913385827
"1047",2002,"Male","[20:25)","hivprev",0.0492753623188406
"1048",2003,"Male","[20:25)","hivprev",0.0590111642743222
"1049",2004,"Male","[20:25)","hivprev",0.0610561056105611
"1050",2006,"Male","[20:25)","hivprev",0.0423357664233577
"1051",2007,"Male","[20:25)","hivprev",0.0331230283911672
"1052",2009,"Male","[20:25)","hivprev",0.0433333333333333
"1053",2011,"Male","[20:25)","hivprev",0.0440528634361234
"1054",2012,"Male","[20:25)","hivprev",0.0400534045393858
"1055",2014,"Male","[20:25)","hivprev",0.0392857142857143
"1056",2016,"Male","[20:25)","hivprev",0.0307529162248144
"1057",1999,"Female","[25:30)","hivprev",0.22706065318818
"1058",2000,"Female","[25:30)","hivprev",0.208499335989376
"1059",2002,"Female","[25:30)","hivprev",0.201660735468565
"1060",2003,"Female","[25:30)","hivprev",0.176470588235294
"1061",2004,"Female","[25:30)","hivprev",0.164556962025316
"1062",2006,"Female","[25:30)","hivprev",0.160886319845857
"1063",2007,"Female","[25:30)","hivprev",0.154343807763401
"1064",2009,"Female","[25:30)","hivprev",0.148997134670487
"1065",2011,"Female","[25:30)","hivprev",0.169000933706816
"1066",2012,"Female","[25:30)","hivprev",0.172227231740307
"1067",2014,"Female","[25:30)","hivprev",0.177121771217712
"1068",2016,"Female","[25:30)","hivprev",0.187445510026155
"1069",1999,"Male","[25:30)","hivprev",0.133843212237094
"1070",2000,"Male","[25:30)","hivprev",0.103202846975089
"1071",2002,"Male","[25:30)","hivprev",0.108320251177394
"1072",2003,"Male","[25:30)","hivprev",0.0788590604026846
"1073",2004,"Male","[25:30)","hivprev",0.11844331641286
"1074",2006,"Male","[25:30)","hivprev",0.119013062409289
"1075",2007,"Male","[25:30)","hivprev",0.125748502994012
"1076",2009,"Male","[25:30)","hivprev",0.11969696969697
"1077",2011,"Male","[25:30)","hivprev",0.103004291845494
"1078",2012,"Male","[25:30)","hivprev",0.0992555831265509
"1079",2014,"Male","[25:30)","hivprev",0.0983397190293742
"1080",2016,"Male","[25:30)","hivprev",0.0812121212121212
"1081",1999,"Female","[30:35)","hivprev",0.296791443850267
"1082",2000,"Female","[30:35)","hivprev",0.283783783783784
"1083",2002,"Female","[30:35)","hivprev",0.257545271629779
"1084",2003,"Female","[30:35)","hivprev",0.224334600760456
"1085",2004,"Female","[30:35)","hivprev",0.238260869565217
"1086",2006,"Female","[30:35)","hivprev",0.205804749340369
"1087",2007,"Female","[30:35)","hivprev",0.220657276995305
"1088",2009,"Female","[30:35)","hivprev",0.213169642857143
"1089",2011,"Female","[30:35)","hivprev",0.198412698412698
"1090",2012,"Female","[30:35)","hivprev",0.19047619047619
"1091",2014,"Female","[30:35)","hivprev",0.180722891566265
"1092",2016,"Female","[30:35)","hivprev",0.176923076923077
"1093",1999,"Male","[30:35)","hivprev",0.171503957783641
"1094",2000,"Male","[30:35)","hivprev",0.15158371040724
"1095",2002,"Male","[30:35)","hivprev",0.155507559395248
"1096",2003,"Male","[30:35)","hivprev",0.151315789473684
"1097",2004,"Male","[30:35)","hivprev",0.153846153846154
