"","year","gender","agegroup","measurement","value"
"104",2009,"Female","[35:40)","artcoverage",0.411764705882353
"105",2011,"Female","[35:40)","artcoverage",0.383720930232558
"106",2012,"Female","[35:40)","artcoverage",0.460732984293194
"107",2014,"Female","[35:40)","artcoverage",0.719298245614035
"108",2016,"Female","[35:40)","artcoverage",0.800884955752212
"109",1999,"Male","[35:40)","artcoverage",0
"110",2000,"Male","[35:40)","artcoverage",0
"111",2002,"Male","[35:40)","artcoverage",0
"112",2003,"Male","[35:40)","artcoverage",0
"113",2004,"Male","[35:40)","artcoverage",0
"114",2006,"Male","[35:40)","artcoverage",0.157894736842105
"115",2007,"Male","[35:40)","artcoverage",0.235294117647059
"116",2009,"Male","[35:40)","artcoverage",0.276315789473684
"117",2011,"Male","[35:40)","artcoverage",0.230769230769231
"118",2012,"Male","[35:40)","artcoverage",0.373831775700935
"119",2014,"Male","[35:40)","artcoverage",0.607142857142857
"120",2016,"Male","[35:40)","artcoverage",0.689655172413793
"121",1999,"Female","[40:45)","artcoverage",0
"122",2000,"Female","[40:45)","artcoverage",0
"123",2002,"Female","[40:45)","artcoverage",0
"124",2003,"Female","[40:45)","artcoverage",0
"125",2004,"Female","[40:45)","artcoverage",0
"126",2006,"Female","[40:45)","artcoverage",0.230769230769231
"127",2007,"Female","[40:45)","artcoverage",0.359550561797753
"128",2009,"Female","[40:45)","artcoverage",0.395348837209302
"129",2011,"Female","[40:45)","artcoverage",0.519230769230769
"130",2012,"Female","[40:45)","artcoverage",0.595238095238095
"131",2014,"Female","[40:45)","artcoverage",0.682758620689655
"132",2016,"Female","[40:45)","artcoverage",0.811764705882353
"133",1999,"Male","[40:45)","artcoverage",0
"134",2000,"Male","[40:45)","artcoverage",0
"135",2002,"Male","[40:45)","artcoverage",0
"136",2003,"Male","[40:45)","artcoverage",0
"137",2004,"Male","[40:45)","artcoverage",0
"138",2006,"Male","[40:45)","artcoverage",0.140350877192982
"139",2007,"Male","[40:45)","artcoverage",0.254237288135593
"140",2009,"Male","[40:45)","artcoverage",0.3
"141",2011,"Male","[40:45)","artcoverage",0.337662337662338
"142",2012,"Male","[40:45)","artcoverage",0.402597402597403
"143",2014,"Male","[40:45)","artcoverage",0.523255813953488
"144",2016,"Male","[40:45)","artcoverage",0.688888888888889
"145",1999,"Female","[45:50)","artcoverage",0
"146",2000,"Female","[45:50)","artcoverage",0
"147",2002,"Female","[45:50)","artcoverage",0
"148",2003,"Female","[45:50)","artcoverage",0
"149",2004,"Female","[45:50)","artcoverage",0
"150",2006,"Female","[45:50)","artcoverage",0.232558139534884
"151",2007,"Female","[45:50)","artcoverage",0.276595744680851
"152",2009,"Female","[45:50)","artcoverage",0.274193548387097
"153",2011,"Female","[45:50)","artcoverage",0.466666666666667
"154",2012,"Female","[45:50)","artcoverage",0.608695652173913
"155",2014,"Female","[45:50)","artcoverage",0.711111111111111
"156",2016,"Female","[45:50)","artcoverage",0.845454545454545
"157",1999,"Male","[45:50)","artcoverage",0
"158",2000,"Male","[45:50)","artcoverage",0
"159",2002,"Male","[45:50)","artcoverage",0
"160",2003,"Male","[45:50)","artcoverage",0
"161",2004,"Male","[45:50)","artcoverage",0
"162",2006,"Male","[45:50)","artcoverage",0.0476190476190476
"163",2007,"Male","[45:50)","artcoverage",0.333333333333333
"164",2009,"Male","[45:50)","artcoverage",0.434782608695652
"165",2011,"Male","[45:50)","artcoverage",0.471698113207547
"166",2012,"Male","[45:50)","artcoverage",0.4
"167",2014,"Male","[45:50)","artcoverage",0.583333333333333
"168",2016,"Male","[45:50)","artcoverage",0.733333333333333
"169",1999,"Female","[15:20)","artsize",0
"170",2000,"Female","[15:20)","artsize",0
"171",2002,"Female","[15:20)","artsize",0
"172",2003,"Female","[15:20)","artsize",0
"173",2004,"Female","[15:20)","artsize",0
"174",2006,"Female","[15:20)","artsize",0
"175",2007,"Female","[15:20)","artsize",0
"176",2009,"Female","[15:20)","artsize",1
"177",2011,"Female","[15:20)","artsize",0
"178",2012,"Female","[15:20)","artsize",3
"179",2014,"Female","[15:20)","artsize",7
"180",2016,"Female","[15:20)","artsize",21
"181",1999,"Male","[15:20)","artsize",0
"182",2000,"Male","[15:20)","artsize",0
"183",2002,"Male","[15:20)","artsize",0
"184",2003,"Male","[15:20)","artsize",0
"185",2004,"Male","[15:20)","artsize",0
"186",2006,"Male","[15:20)","artsize",0
"187",2007,"Male","[15:20)","artsize",1
"188",2009,"Male","[15:20)","artsize",1
"189",2011,"Male","[15:20)","artsize",2
"190",2012,"Male","[15:20)","artsize",6
"191",2014,"Male","[15:20)","artsize",1
"192",2016,"Male","[15:20)","artsize",2
"193",1999,"Female","[20:25)","artsize",0
"194",2000,"Female","[20:25)","artsize",0
"195",2002,"Female","[20:25)","artsize",0
"196",2003,"Female","[20:25)","artsize",0
"197",2004,"Female","[20:25)","artsize",0
"198",2006,"Female","[20:25)","artsize",3
"199",2007,"Female","[20:25)","artsize",2
"200",2009,"Female","[20:25)","artsize",3
"201",2011,"Female","[20:25)","artsize",9
"202",2012,"Female","[20:25)","artsize",24
"203",2014,"Female","[20:25)","artsize",54
"204",2016,"Female","[20:25)","artsize",73
"205",1999,"Male","[20:25)","artsize",0
"206",2000,"Male","[20:25)","artsize",0
"207",2002,"Male","[20:25)","artsize",0
"208",2003,"Male","[20:25)","artsize",0
"209",2004,"Male","[20:25)","artsize",0
"210",2006,"Male","[20:25)","artsize",0
"211",2007,"Male","[20:25)","artsize",0
"212",2009,"Male","[20:25)","artsize",0
"213",2011,"Male","[20:25)","artsize",0
"214",2012,"Male","[20:25)","artsize",1
"215",2014,"Male","[20:25)","artsize",5
"216",2016,"Male","[20:25)","artsize",8
"217",1999,"Female","[25:30)","artsize",0
"218",2000,"Female","[25:30)","artsize",0
"219",2002,"Female","[25:30)","artsize",0
"220",2003,"Female","[25:30)","artsize",0
"221",2004,"Female","[25:30)","artsize",0
"222",2006,"Female","[25:30)","artsize",13
"223",2007,"Female","[25:30)","artsize",17
"224",2009,"Female","[25:30)","artsize",16
"225",2011,"Female","[25:30)","artsize",23
"226",2012,"Female","[25:30)","artsize",39
"227",2014,"Female","[25:30)","artsize",87
"228",2016,"Female","[25:30)","artsize",130
"229",1999,"Male","[25:30)","artsize",0
"230",2000,"Male","[25:30)","artsize",0
"231",2002,"Male","[25:30)","artsize",0
"232",2003,"Male","[25:30)","artsize",0
"233",2004,"Male","[25:30)","artsize",0
"234",2006,"Male","[25:30)","artsize",2
"235",2007,"Male","[25:30)","artsize",4
"236",2009,"Male","[25:30)","artsize",6
"237",2011,"Male","[25:30)","artsize",6
